Domain,Identities Count,Added by,Trust Level,Identity status - Scout account are more than EXT account,Scout Count,External Count,Total Identities
skoda-auto.cz,46,Cyera,External,More than half,37,27,64
xl2.de,42,Cyera,External,More than half,38,4,42
visteon.com,38,Cyera,External,Less than half,6,32,38
cariad.technology,37,Cyera,External,More than half,45,9,54
brose-sitech.com,35,Cyera,External,More than half,22,13,35
autoliv.com,31,Cyera,External,Less than half,8,23,31
mhp.com,31,Cyera,External,More than half,29,2,31
forvia.com,30,Cyera,External,Less than half,13,19,32
edag.com,29,Cyera,External,More than half,22,11,33
aam.com,28,Cyera,External,More than half,34,2,36
sctechsystem.edu,26,Cyera,External,More than half,18,8,26
webasto.com,26,Cyera,External,Less than half,0,26,26
powerco.de,25,Cyera,External,Less than half,12,13,25
thyssenkrupp-automotive.com,25,Cyera,External,More than half,23,4,27
centuryplastics.net,22,Cyera,External,More than half,15,7,22
bury.com,21,Cyera,External,More than half,11,10,21
kostal.com,21,Cyera,External,More than half,19,2,21
leoni.com,21,Cyera,External,More than half,22,1,23
roush.com,21,Cyera,External,Less than half,5,16,21
valeo.com,21,Cyera,External,More than half,14,10,24
brose.com,20,Cyera,External,Less than half,2,18,20
ingenics.com,20,Cyera,External,More than half,18,3,21
ipi.build,19,Cyera,External,Less than half,4,15,19
nvhkorea.com,19,Cyera,External,Less than half,3,16,19
vw.ca,19,Cyera,External,More than half,19,0,19
saiconautomation.com,18,Cyera,External,More than half,18,0,18
accenture.com,17,Cyera,External,More than half,9,8,17
lginnotek.com,17,Cyera,External,More than half,14,3,17
seg-automotive.com,17,Cyera,External,More than half,15,2,17
audi.mx,16,Cyera,External,Less than half,6,11,17
intevaproducts.com,16,Cyera,External,Less than half,4,12,16
new-moon.com,16,Cyera,External,Less than half,2,14,16
one.ai,16,Cyera,External,Less than half,0,16,16
signata.group,16,Cyera,External,Less than half,9,15,24
edag.com.mx,15,Cyera,External,More than half,12,3,15
iav.de,15,Cyera,External,Less than half,8,10,18
isi.com,15,Cyera,External,Less than half,4,11,15
logsystems.de,15,Cyera,External,More than half,10,5,15
valianttms.com,15,Cyera,External,More than half,16,1,17
voitas.us,15,Cyera,External,More than half,11,4,15
marquardt.com,14,Cyera,External,Less than half,7,8,15
martinrea.com,14,Cyera,External,More than half,12,2,14
multimatic.com,13,Cyera,External,Less than half,2,11,13
rcoeng.com,13,Cyera,External,Less than half,0,13,13
siemens.com,13,Cyera,External,More than half,7,7,14
benteler.com,12,Cyera,External,More than half,10,3,13
gotion.com,12,Cyera,External,Less than half,0,12,12
jacobs.com,12,Cyera,External,Less than half,3,14,17
lear.com,12,Cyera,External,Less than half,0,12,12
opmobility.com,12,Cyera,External,More than half,8,5,13
prefix.com,12,Cyera,External,Less than half,0,12,12
sodecia.com,12,Cyera,External,Less than half,1,11,12
vaiva.io,12,Cyera,External,More than half,8,4,12
yahoo.com,12,Cyera,External,Less than half,1,140,141
adp.com,11,Cyera,External,More than half,11,0,11
auo.com,11,Cyera,External,Less than half,0,11,11
fev.com,11,Cyera,External,More than half,12,0,12
italdesign.it,11,Cyera,External,Less than half,1,10,11
lckcs.com,11,Cyera,External,Less than half,5,7,12
mbn-gmbh.de,11,Cyera,External,More than half,9,5,14
myotek.com,11,Cyera,External,More than half,11,0,11
sap.com,11,Cyera,External,Less than half,6,7,13
vw-fc.com,11,Cyera,External,Less than half,0,11,11
atngmbh.de,10,Cyera,External,More than half,10,0,10
bertrandt.com,10,Cyera,External,More than half,6,4,10
dc-gmbh.com,10,Cyera,External,Less than half,2,8,10
hwashin.co.kr,10,Cyera,External,Less than half,0,10,10
joysonsafety.com,10,Cyera,External,Less than half,1,9,10
xinquan.cn,10,Cyera,External,More than half,5,5,10
automators.com,9,Cyera,External,More than half,9,0,9
cooperstandard.com,9,Cyera,External,Less than half,1,8,9
creativeliquidcoatings.com,9,Cyera,External,More than half,7,2,9
daimayus.com,9,Cyera,External,More than half,9,0,9
losyork.tv,9,Cyera,External,Less than half,0,9,9
porsche-engineering.cz,9,Cyera,External,More than half,11,0,11
pwc.com,9,Cyera,External,Less than half,2,8,10
saargummi.com,9,Cyera,External,Less than half,3,6,9
seat.es,9,Cyera,External,Less than half,0,9,9
ssprod.com,9,Cyera,External,Less than half,1,8,9
thesimplemachine.co,9,Cyera,External,More than half,6,6,12
vibracoustic.com,9,Cyera,External,Less than half,1,9,10
voitas.de,9,Cyera,External,More than half,8,1,9
aires.com,8,Cyera,External,More than half,8,0,8
btdinc.com,8,Cyera,External,More than half,5,3,8
deloitte.de,8,Cyera,External,More than half,7,1,8
evans-gc.com,8,Cyera,External,Less than half,0,9,9
gentex.com,8,Cyera,External,More than half,8,0,8
horien.com,8,Cyera,External,More than half,7,1,8
kayser-automotive.com,8,Cyera,External,Less than half,3,5,8
keboda.com,8,Cyera,External,More than half,8,0,8
marsh.com,8,Cyera,External,Less than half,1,7,8
ph.co.kr,8,Cyera,External,Less than half,0,8,8
porsche-consulting.com,8,Cyera,External,More than half,6,2,8
prestige-grp.com,8,Cyera,External,Less than half,2,6,8
rivianvw.tech,8,Cyera,External,More than half,5,3,8
thaisummit.us,8,Cyera,External,Less than half,1,7,8
tuopuna.com,8,Cyera,External,More than half,4,4,8
zkw.sk,8,Cyera,External,More than half,8,0,8
adacautomotive.com,7,Cyera,External,Less than half,1,6,7
arkal-automotive.com,7,Cyera,External,Less than half,3,4,7
audi.hu,7,Cyera,External,Less than half,2,5,7
batz.es,7,Cyera,External,More than half,4,3,7
boge-rubber-plastics.com,7,Cyera,External,Less than half,0,7,7
cebi.com,7,Cyera,External,Less than half,0,7,7
contechs.co.uk,7,Cyera,External,Less than half,0,7,7
cubearing.com,7,Cyera,External,More than half,4,3,7
diconium.com,7,Cyera,External,Less than half,2,6,8
digital-realization.com,7,Cyera,External,More than half,5,2,7
gkcorp.com,7,Cyera,External,More than half,12,1,13
grede.com,7,Cyera,External,Less than half,0,7,7
gtvinc.com,7,Cyera,External,Less than half,3,4,7
hutchinson.com,7,Cyera,External,Less than half,0,7,7
ltts.com,7,Cyera,External,More than half,4,3,7
luxitgroup.com,7,Cyera,External,More than half,7,0,7
mollgmbh.de,7,Cyera,External,More than half,5,2,7
motusintegrated.com,7,Cyera,External,More than half,7,0,7
mtccorp.com,7,Cyera,External,Less than half,0,7,7
mx.bosch.com,7,Cyera,External,Less than half,1,6,7
npstrategy.com,7,Cyera,External,Less than half,0,7,7
pentanova.com,7,Cyera,External,More than half,6,3,9
phakr.com,7,Cyera,External,Less than half,1,6,7
powerbuilt.net,7,Cyera,External,More than half,7,0,7
rofa-group.com,7,Cyera,External,More than half,4,3,7
tuopu.com,7,Cyera,External,Less than half,0,7,7
us.brembo.com,7,Cyera,External,Less than half,0,7,7
vwgds.in,7,Cyera,External,Less than half,1,9,10
walbridge.com,7,Cyera,External,Less than half,2,5,7
xinquanauto.com,7,Cyera,External,Less than half,0,7,7
zf.com,7,Cyera,External,Less than half,0,7,7
zkwusa.com,7,Cyera,External,More than half,4,3,7
aludec.com,6,Cyera,External,More than half,6,0,6
aue-kassel.de,6,Cyera,External,More than half,6,0,6
bantboru.com,6,Cyera,External,Less than half,0,6,6
columbiasc.gov,6,Cyera,External,Less than half,0,6,6
geprom.com,6,Cyera,External,More than half,6,0,6
germanedge.com,6,Cyera,External,More than half,7,0,7
gfxltd.com,6,Cyera,External,Less than half,0,6,6
grudem.com,6,Cyera,External,Less than half,2,4,6
hi-lex.com,6,Cyera,External,Less than half,0,6,6
infor.com,6,Cyera,External,More than half,6,1,7
joysonquin.com,6,Cyera,External,Less than half,2,4,6
landorandfitch.com,6,Cyera,External,Less than half,0,6,6
ltcroll.com,6,Cyera,External,Less than half,0,6,6
mahle.com,6,Cyera,External,Less than half,0,6,6
meilisprings.com,6,Cyera,External,Less than half,0,6,6
oakwoodgroup.com,6,Cyera,External,Less than half,1,5,6
outlook.com,6,Cyera,External,Less than half,2,44,46
resrgautomotive.com,6,Cyera,External,More than half,6,0,6
sctechsystems.edu,6,Cyera,External,More than half,5,1,6
steineke.de,6,Cyera,External,More than half,6,0,6
te.com,6,Cyera,External,Less than half,0,6,6
treves-group.com,6,Cyera,External,More than half,6,0,6
unifize.com,6,Cyera,External,More than half,6,0,6
usfarathane.com,6,Cyera,External,More than half,6,0,6
zkw-group.com,6,Cyera,External,More than half,3,3,6
zkw.mx,6,Cyera,External,Less than half,1,7,8
basf.com,5,Cyera,External,Less than half,0,5,5
clevelandcliffs.com,5,Cyera,External,Less than half,1,4,5
dsidsc.com,5,Cyera,External,More than half,5,0,5
dspaceinc.com,5,Cyera,External,Less than half,0,5,5
flexngate.com,5,Cyera,External,Less than half,0,5,5
hote-design.de,5,Cyera,External,Less than half,0,6,6
iamt-gruppe.de,5,Cyera,External,More than half,5,0,5
intcai.com,5,Cyera,External,More than half,5,0,5
jll.com,5,Cyera,External,Less than half,0,5,5
kk-alpha.com,5,Cyera,External,Less than half,0,5,5
kvfinal.cz,5,Cyera,External,Less than half,0,5,5
mckinsey.com,5,Cyera,External,Less than half,0,5,5
metrican.com,5,Cyera,External,Less than half,0,5,5
minthgroup.com,5,Cyera,External,Less than half,0,5,5
rofa-ag.de,5,Cyera,External,More than half,3,2,5
rofa-lehmer.de,5,Cyera,External,More than half,5,0,5
safeguardsconsulting.com,5,Cyera,External,Less than half,0,5,5
sccommerce.com,5,Cyera,External,More than half,4,1,5
schwertner-system.com,5,Cyera,External,More than half,4,2,6
sswlindia.com,5,Cyera,External,Less than half,0,5,5
transcom.com,5,Cyera,External,More than half,4,1,5
us.dlapiper.com,5,Cyera,External,Less than half,0,5,5
utpsolutions.com,5,Cyera,External,More than half,5,0,5
venablesbell.com,5,Cyera,External,More than half,4,1,5
vitesco.com,5,Cyera,External,Less than half,0,5,5
workwithink.co.uk,5,Cyera,External,Less than half,0,5,5
zf-lifetec.com,5,Cyera,External,Less than half,0,5,5
zkw.at,5,Cyera,External,More than half,4,1,5
angst-pfister.com,4,Cyera,External,Less than half,0,4,4
apextoolgroup.com,4,Cyera,External,More than half,4,0,4
arcelormittal.com,4,Cyera,External,Less than half,0,4,4
ascentialtech.com,4,Cyera,External,More than half,5,0,5
aus.com,4,Cyera,External,Less than half,0,4,4
avs.sumiriko.com,4,Cyera,External,Less than half,0,4,4
bayraklastik.com.tr,4,Cyera,External,Less than half,0,4,4
bcg.com,4,Cyera,External,Less than half,1,4,5
bmplastic.com,4,Cyera,External,Less than half,0,4,4
bss.gmbh,4,Cyera,External,More than half,5,0,5
callmc.com,4,Cyera,External,Less than half,3,4,7
cmpautomotive.es,4,Cyera,External,Less than half,0,4,4
creativefoam.com,4,Cyera,External,More than half,4,0,4
deltarfasteners.com,4,Cyera,External,More than half,4,0,4
dlrgroup.com,4,Cyera,External,Less than half,0,4,4
durrusa.com,4,Cyera,External,Less than half,0,4,4
eoiauto.com,4,Cyera,External,Less than half,1,4,5
fatainc.com,4,Cyera,External,Less than half,0,4,4
fee.de,4,Cyera,External,More than half,2,2,4
fraenkische-ip.com,4,Cyera,External,Less than half,0,4,4
futuredeluxe.com,4,Cyera,External,Less than half,0,4,4
gel.com,4,Cyera,External,Less than half,0,4,4
hitachiastemo.com,4,Cyera,External,Less than half,0,4,4
hitt-gc.com,4,Cyera,External,Less than half,0,4,4
hlcompany.com,4,Cyera,External,Less than half,0,4,4
hotmail.com,4,Cyera,External,Less than half,0,86,86
huf-group.com,4,Cyera,External,Less than half,0,4,4
in.bosch.com,4,Cyera,External,More than half,4,0,4
itwautomotive.com,4,Cyera,External,Less than half,0,4,4
jacprod.com,4,Cyera,External,Less than half,0,4,4
kirchoff-automotive.com,4,Cyera,External,Less than half,0,4,4
lamborghini.com,4,Cyera,External,Less than half,0,4,4
landor.com,4,Cyera,External,Less than half,0,4,4
meridian.co.uk,4,Cyera,External,More than half,4,1,5
mubea.com,4,Cyera,External,Less than half,0,4,4
novem.com,4,Cyera,External,More than half,2,2,4
porsche-engineering.ro,4,Cyera,External,More than half,4,0,4
rigidindustries.com,4,Cyera,External,Less than half,0,4,4
rsmus.com,4,Cyera,External,Less than half,1,3,4
southwoodcorp.com,4,Cyera,External,Less than half,0,4,4
spal.com,4,Cyera,External,Less than half,0,4,4
spsx.com,4,Cyera,External,More than half,4,0,4
studio2lr.com,4,Cyera,External,Less than half,0,4,4
supind.com,4,Cyera,External,Less than half,1,3,4
surface-controls.com,4,Cyera,External,More than half,4,0,4
techhubps.com,4,Cyera,External,More than half,4,0,4
topyamerica.com,4,Cyera,External,Less than half,1,3,4
tycamericas.com,4,Cyera,External,More than half,4,0,4
voitas.eu,4,Cyera,External,Less than half,0,4,4
weelevate.com,4,Cyera,External,Less than half,0,4,4
witte-automotive.de,4,Cyera,External,Less than half,0,4,4
wmevents.com,4,Cyera,External,Less than half,0,4,4
yamaha.com,4,Cyera,External,Less than half,0,5,5
zlc-na.com,4,Cyera,External,Less than half,0,4,4
actemium.com,3,Cyera,External,Less than half,0,3,3
agpglass.com,3,Cyera,External,Less than half,0,3,3
alparmetal.com.tr,3,Cyera,External,Less than half,0,3,3
aludyne.com,3,Cyera,External,Less than half,0,3,3
ascentgl.net,3,Cyera,External,Less than half,0,3,3
ascentlogistics.com,3,Cyera,External,Less than half,0,3,3
asi.com,3,Cyera,External,Less than half,0,3,3
bcs-ais.com,3,Cyera,External,Less than half,0,3,3
bentley.co.uk,3,Cyera,External,Less than half,0,3,3
bitron.com,3,Cyera,External,Less than half,0,3,3
bps.cpa,3,Cyera,External,More than half,2,1,3
carvana.com,3,Cyera,External,Less than half,0,3,3
